Explanation;Target
Vodafone devlet ile ortak çalışıyor. Herhangi bir sorun yaşamanız halinde ne BTK nede şirket sahipleri sorunu çözümlüyor. Platinum hikayesi ise gereksiz. 20 yıl müşterisiydim. Oyalayıp durdular. Vermedikleri hizmetin parasını misli misli alırlar aman dikkat.;0
Malesef, üstelik utanmadan yapıyorlar bunları!!;0
Vodafone bir açıklama yaptı daha önceden dinleme numara verme gibi durumlar için, turkcell zaten islamcı çete nin elinde.;0
Sorulan sorunun cevabını vermemek için 'biz bilmeyiz sistem bilir' gibi aptalca cevaplar verip, yeni satış yapmaya çalışan @Vodafone komple sistemin çöker de paramızla aptal yerine konmaktan kurtuluruz inşallah.;0
Vodafone in sistemden kaynaklı güvenlik açığı değil asıl konu. Kendi genel merkezinde kurum dışına ofis açması ve yasa dışı müdahele yetkisi tanımasından kaynaklı bilinçli  sonuçtur. Ne ilk ne de;0
İnternetiniz rezalet ötesi, şuna bir çözüm bulun artık! @Vodafone;0
Meselenin devlet işleyisi ile alakası yok @Vodafone in yaptığı yanlış olan herkese bu bilgileri vermesi yoksa devlet zaten biliyor bilmekte görevi;0
Vodafone ye geçiş yapmadan size dönüş yapılmayacak maalesef;2
Vodafone La bu da bişey mi,  benim kimlik bilgilerim varken @Vodafone tarafından 3 ay kullandığım sikindirik @Fiberintenet ve @VodafoneRed iptali içimin 940 tl cayma bedeli çılardılar. Sanırsın hizmet yerine başka bir şey veriyorlar amk??;0
Hani vodafone heryerde çekiyodu;0
Boşuna uğraşmayın ilgilenmiyorlar. Bende aynı şekilde sıkıntılar söz konusu defalarca dile getirdim Turkcell tarafından bir çözüm bulamadım. @VodafoneHizmet Vodafone i iyi biliyordum ama maalesef o da fos çıktı !;0
Mayısta taahhütüm bitince nasıl @Vodafone a geçiyorum izle hayatım;1
Hamdolsun??@Vodafone li değilim ??;0
Vodafone ev interneti neden bu kadar yavaş ve kalitesiz? Özellikle film veya dizi izlerken aşırı yavaş ve donuyor bu kadar paraya bu kadar kalitesizlik?? @Vodafone #vodafone #internet #evinterneti;0
Sevgili @Vodafone sanırım 15 senedir beraberiz. Bu ilişki bitmesin diye çok emek verdim ama sende beni silkelemekten vazgeçmiyorsun. Yeni arkadaşlıklara kollarını sonuna kadar açıp beni hep 2.plana attın. Mart sonu itibari ile 2 yabancı olacağız. Seni tanımak güzeldi.;0
Serefsiz sirket Vodafone tum  bilgilerri vermistir;0
Vodafone tum bilgilere istihbarat ile paylasan bir serefsiz sahtekar sirket saniyorum;0
Vodafone den kurtuldum darısı başınıza ??;0
Yediğiniz bokların hesabını vermeyeceğinizi falan mı düşünüyorsunuz acaba? @Vodafone @VodafoneTR;0
Arkadaşlar bilmiyorum birtek benim başıma mı geldi..? Daha önce @Vodafone sosyal paketim dolduğu halde, faturama yansıyordu.. İki gündür sadece ve sadece paketim dolduğu için twetteri açmıyor..Diğer uygulamalarda bir sıkıntı yok.. Bu iş kasti olarak yapılıyor gibi geliyor bana..;0
Usta hepsi aynı be Ben vodafone kullanıyorum açık alam düz yolda çekmiyor valla;0
Ben yıllar oldu bırakalı. Çokta iyi yapmışım. Size de tavsiye ederim.;0
Vodafone abisi siz çete miydiniz yoksa iletişim firması mı ona göre muamele yapalım size.;0
Vodafone 1 aydır internetim yok denecek kadar az çekiyor. Müşteri temsilcisi ile farklı günlerde defalarca görüştüm, her seferinde farklı bir savunma yaptınız.  Her ay 100 liraya yakın fatura ödeyip istediğim verimi alamayacaksam neden Vdafone'u kullanmaya devam edeyim?;0
Valla bırakacağım.;0
Hesap vereceksiniz! @Vodafone @VodafoneTR;0
Gelmeyin çok kazık;0
#Vodafone hattını kapatıyoruz yok artık;0
Vodafone dunyanin en dolandirici operatorudur. Kullanicilarini kandirip nasil 50-100 daha fazla kazanirim diye dusunen rezalet bir sirket;0
Teşekkürler @Vodafone 3 yıl boyunca eleman çalıştırıyorsunuz sizin çatınız altında çalıştıkça insanlara turkcelli en güzel şekilde öneriyorlar ama ablam sırf hamile diye işten çıkartılıyor ve hiçbir hakkından faydalandırmadı bu saatten sonra mağaza önünden bile geçmeyiz!!!;0
Az dolandırıcı değilsin @Vodafone @VodafoneHizmet faturalı hat üzerinden aldığımız telefona ek garanti için 400TL para ödedik, kart yuvası değişimi icin gönderdiğimde 60TL para isteyip ödeme yapmadan işlemi yapmayıp 1 ay bekletiniz.Her faturayı internet aşımı diye  katliyorsunuz;0
#vodafone ile ilgili bu iddialar doğruysa durum gerçekten çok vahim. Ben inanmak istemiyorum!;0
mecburiyetten olmasa kullanmam iş yeri şehir dışında ve o bölgede diğer operatörlerde şebeke sorunu var;0
Bundan böyle @Vodafone @reyizfone olmuştur;1
Vodafone neden köpeklik yapıyorsun?;0
#Vodafone müşteri hizmetleri söyledi zaten ,mobil kapalıyken neden TL çalıyorsunuz dedim yasal alınıyor dedi yani YASAL HIRSIZLIK öylemi dedim çıt yok. #turkcell hattımdada dün dolandırıldım. Hepsi hırsız hepsi dolandırıcı. Rabbim burunlarından fitil fitil getirsin iki cihanda.;0
sevgili Turkcell ve Vodafone...sizi de bir yere yazdık..Ülke normalleşsin..sizle de hesaplaşacağız hiç endişeniz olmasın...;0
Tahattüt yarin bitiyor.. Ayın 24 dü.. Erken başka hatta geçerseniz ceza yansıtacak diyor vodafone.. Ben geçte geçsem Siz bir formül bulur o cezayı ödetirsiniz..;0
En büyükleri turkcell vodafon.Diğerleri zaten onların??O yüzden güvenli değil hiçbiri.;0
Bilgim ve sizin yetkiniz dışında bilgilerimin gizliliğini ve güvenliğini sağlayamayıp bir takım siyasi grup, kuruluş ve dahi 3. kişilere satmak yahut bildirmek gibi hukuken suç olan işlemleri yaparsanız hakkınızda davacı olacağımı bu tarih ve saatte beyan ederim. @Vodafone;2
Vodafone bu rezalet için nasıl bir açıklama yapacak veya yapabilecek mi ??;0
Vodafone şu salla kazanı değiştir aq insan içinde telefon sallıyoruz bize yaptırdığın şeye bak tıklasak olmuyor muydu;0
Vodafone seni kullandığım için çok pişmanım;0
Cok buyuk bir dolandiricilik artı kimlik hırsızlığı @Vodafone in yaptığı. Vodafone kendi abonelerinin izni ve bilgisi olmadan böyle çetelerle işbirliği yapması kimsenin güvende olmadığı anlamına geliyor;0
Vodafone lanet olsun size Pazartesi iki hattımı kapatıyorum.;0
Hayatımda sizin kadar kalitesiz kurum görmedim @Vodafone Senin kadar da iğrenç bir uygulama görmedim @VodafoneMobil;0
"Biz teknoloji şirketiyiz diyen Vodafone, ""Biz siyaset ve rezalet şirketiyiz"" deseniz daha doğru olmaz mı? @Vodafone";0
Vodafone'i bırakma sebebimdir. ;0
Vodafone yine sıkıntı ne ? ne oluyor size .Kalite diyerek , bağlantı hızı iyi diyerek Vodafone kullanıyoruz hıza bak .Ölmussunuzde aglayaniniz yok .Rezil bı haldesiniz şu an .Sıradan bı sayfayı dahi acamiyor .  ;0
Vodafone mobil ödeme adı altında benden iki ay boyunca 5 TL ücret kesti, araya araya bir aylık ücreti iade aldım kalan bir aylığı iade etmediler, ve bu mobil üyelikten hiç bir bilgim yoktu, yazıklar olsun diyorum.;0
Gün geçmiyor ki kurumsal firmaların rezillikleri ortaya dökülmesin.Son dönemde olanlar Kızılay, Turkcell ve Vodafone aracılığıyla gerçekleşen usulsüzlükler.;0
Hem avea hem Turkcell kullanmis biri olarak, @VodafoneTR  den aldigim hizmeti hic biyerden almadim.;1
Sevgili @Vodafone babamın müşteri temsilcisi ile yapmış olduğu telefon konuşmasında açık açık ben yeni kontrat yapmak istemiyorum demesine rağmen sizin müşteri temsilciniz babamı 1 yıllık bir pakete dahil etmiş.;0
Vodafone hükümete ajanlik yapmaya mı başlamış bence yabancılara satıldığından beri hem kalitesi düştü hemde guvenililirliği kalmamısti adamlar milletin bilgilerini zaten ticari amacli kullaniyorlardi habire olmadik yerlerden sacma sapan pazarlamaci telefinları geliyordu;0
eski müşterilerin kıymetinin olmadığı konusunda arkadaşa kesinlikle katılıyorum. 10 yıldır vodafone kullanıyorum ama yaptığım paket ücretiyle 2 ayı deviren vodafone müşterileri var. Çatlat hediyeleri bile ücret karşılığında. Salla kazan'ın algoritmasına hiç girmeyeceğim daha...;0
VodafoneHizmet hizmette 0 sorumlulukta 0 geçiştirme de dolandırma da bir numarasın Vodafone ya gelin evimden alın internetinizi herşeyinizi yada mahkeme de görüşeceğiz. Sizin kadar sorumsuz bir firma tanımadım daha.;0
Türk Telekom daha mantıklı duruyor. Vodafone kullanıyorum ve 70? paket ücreti ödüyorum, 15gb 1000dk veriyor. Pahalı geliyor.;0
Siz yalancısınız ve yalan sizin işiniz olmuş;0
Güvenliğiniz için Vodafone'den uzak durun.;0
Kurumsal kimlik kullanarak hırsızlık! Malum ustalık dönemi muhteşem gerçekten  ağzım açık kaldı!;0
En başta Turk Telekom'dan vazgeçme sebebim çok komik. Çok azcık bir meblağ yüksek gelmişti.  Sonra Vodafone'da bunları yaşayınca çok pişman oldum ama yine de hemen oraya geri dönmek yerine Turkcell i deneyeyim bir de dedim. Ama sonuç yine Turk Telekom.;0
Vodafone turkcell den beter hepsi aynı;0
Bende ama Vodafone'a geçicem çaktırma ????;1
Ama Vodafone çeker miydi bilmiyorum.. Kimsenin tlfonu çekmiyordu. Ara ara çekti yani. Başka hattan geçenlere iyi paketleri var sanıyorum. Ama şöyle ben 10 gb daha internet paketi alıyorum 70 e mi ne geliyor. İnternet çok kullanıyorum??;0
Ahahahaha ya en nefret ettiğim operatör yapma Allah aşkına;0
Ben Turkiye’de iken bu sebepten oturu, yani gizlilik endisesi ile, iktidara yakin Turk Telekom ve Turkcell’i kullanmiyordum. Uluslararasi olanin daha guvenilir olacagini ongormustum;1
VodafoneTR yi 3 yıldır kullanıyorum. Ülkenin yarısında kullandım kapsama sorunu yaşamadım. Diğer yarısını bilemem. @Turkcell in 90 TL’ye verdiği 6 gb interneti ben 30 TL’ye kullanıyorum. Vodafone tarifeleri kan emici vampir @Turkcell in 1/3ü kadardır. Geçin turkcell’e de görün.;1
Hala @Vodafone kullanan var mı?;2
Vodafone' de aynı. Uzun zamandır kullanıyorum, taahhüt bitince yeni aboneye göre üç kat fazla ödüyorum. @Vodafone @VodafoneHizmet #VodafoneDolandırıcılıgı;0
#TıkDiye geçirebilir ile ne demek istediler acaba derken, 1999-2019 arasında 20 yıl boyunca bana yaptıklarını hatırlayıp sustum @Vodafome ...;0
VodafoneTR a laf sokma peşindeler çünkü trol hesaplar üzerinden. @TurkcellHizmet @Turkcell pişmanlıktır..;1
Turk Telekom'dan Vodafone a geçmiştim. İnterneti su gibi bitiyor. Hayatımda bu kadar çabuk biten internet görmedim. Hat çekmiyor, şebeke habire kayboluyor ve Dağda, bayırda değilim ha, İzmir Merkez'deyim. Sonra Turkcell e geçtim ama o da pahalı. #VodafoneDolandırıcılığı;0
Sürekli yavaş ve son iki aydır sürekli kopmalar yaşanıyor bununla ilgili defalarca kayıt oluşturdum fakat bir netice alamadım. Son çare olarak ADSL başka firmaya taşımaya karar verdim. Keşke bu duruma  hiç olmasaydı Vodafone ev interneti benim için sadece sorun başka bir şey değil;0
Ayni durumu biz Bursa Teleferikte yaşamaktan bildirmekten Vodafone nin digital Operatöre yönlendirmesinden Satin alinan Paketlerin 4 gün önce doldu deyip Kesmesinden Bayilerdeki Çalişanlarin illaki Sözleşme yaptirma çabasindan #Biktik Sonuç Hepsi ayni dertleri Abonyi Soymak.;0
Sevgili Vodafone yeni hat başvurusu yaptım 11 gün önce. Geçen hafta ulaşması gereken hattım hala ulaşmadı. Web sitenizden talep açtım geri dönüş de olmadı. Ben nasıl bir hata yaptım da size başvurdum ya? @Vodafone;0
Vodafone 15 GB 175 liraya ödüyorum. Ne paket değişikliğine nede hattı iptal ettirmeme izin vermiyorlar. İptal ettirmek istediğimde abartılı bir fatura çıkartıyorlar. Şaşırttım ne yapacağıma.;0
Benim evde sadece bir köşede çekiyor vodafone beni arayanların çoğu ulaşamıyor..;0
vodafone 3 saat internet kesik diyor bölgemde, şu zamanda savaş çıkmadıkça böyle bi şey olması rezalet;0
Modemleri de çok dandik;0
2 ay kaldı bence vodafone de durulmaz. Eşimin hattını taşıdım sıra bunda.;0
Yazıklar olsun size ya  Şu internetin hızına bak ya?? Ayıp ayıp Boşu boşuna para ödüyoruz Parasını aldığın şeyin hizmetini niye vermiyorsunuz Size ödediğimizi inşallah hastaneye ödersiniz;0
hesapları telefon doğrulama sistemiyle korumak daha güvensiz. vodafone gibi operatörlere güvenilmez;0
vodafone böyle birşey yapıyorsa Direk onu protesto edelim , başka operatöre geçelim ?;0
VodafoneHizmet yönlendirme ücreti nedir ya. Birde arama başı 3 TL. Birde kesinlikle haber vermeden helal olsun Turkcell yok artık diyorum. Yarın ilk iş değişim şart.;0
Bunların hepsi aynı turkcell de vodafonda turktelekomda aynı;0
Taahütüm bitse de bitmese de artık vodafone'den ayrılıyorum. Herkese tavsiyemdir..!;0
Şunu açıkça söylemek istiyorum Vodafone,Turkcell ikiside vatandaşların cebindekini âleni bir şekilde çalıyor;0
Bu rezillik nedir derhal cevap verin!!! @VodafoneTR @Turkcell;0
Akşam maç var.. kulaklarınızın çınlamasını istemiyorsanız ilgileniniz!  @Vodafone @VodafoneHizmet;0
Aslında hepsi aynı .;2
Vodafone musteri hizmetleri lutfen bip yildizlari haftalik 2 gb iken gunluk 2 gb ta dusurdunuz lutfen haftalik olarak geri donsun siz bol hediye veriyorsunuz die burdayiz yoksa istesek hemen turkcell gecebilirim;0
Valla kardeşim Vodafone'den Türk Telekom'a geçtim gayet mutluyum. 1 sene olacak 20 GB paketi 61 lira gibi bir rakama kullanıyorum;0
Hepsi için yapın vodafone 100 liralık faturamı taahüt bitince sormadan 230 liraya çıkarmış ödemedim icrayamı veriyolar naparsa yapsınlar ödemicem o faturayı;0
Böyle bir şey olabilir mi ??!!!! Bu ne demek ya @Vodafone benim sorunumu da çözemediniz ?? O onaylanmış dediğiniz hiç bir mesajı ben onaylamadım! İşte ispatı!!;0
1 Aylığı 2 haftalığa, 2 haftalığı 1 haftaya, 1 haftayi 1 gune, 1 gunu 12 saate, 12 saati 6 saate düşürdunuz. Şimdi sirada ne var 3 saat ve hediye İnternet 30 dk mi? Sonra 0. ?? @TurkcellHizmet @Turkcell;0
Operatörlerin hiçbirisi hizmet odaklı değil. Nasıl cebimizi doldururuzun peşindeler.;0
Aynen vodafone kazıklı voyvodayı geçti vodafone'yi satın alan voyvoda'nın torunu olsa gerek dedesi'de böyle kazıkcıydı zaten;0
Yok dolandırıcılıkta sahtekarlıkta @Vodafone 'in eline su dökemez hiç biri.;0
VodafoneHizmet inşallah batarsın Vodafone iğrenç bir operatörsün!!!;0
Alo @Vodafone  bu sacmaligi aciklasaniza, derhal! ;0
Hepside aynı pok milleti inek Gibi sagiyorlar;0
VOdafone 1 numara bu konuda dolandırma;0
Vodafoneden çıkmaya çalışınca onların da dolandırıcı olabileceğini göreceksiniz;0
Vodafone kadar dolandırıcı, Vodafone kadar da hizmeti kötü operatör görmedim. Bu nedir ya her şey hattı satana kadar mı?;0
Beni ne kadar tanıyorsun da 3.5 liraya diyet listesi hazırlıyorsun ya @Vodafone yer mi Anadolu çocuğu;2
Vodafone kaç gündür cekmiyorsun nette sorun var nedennnnnnnnnnn yaaa  @Vodafone;0
Vodafone arkadaş çekiyorsunuz diye hattımızı taşdık siz diğerlerinden fiyaskosunuz;0
Çok beğendiğiniz Vodafone'in 11 yillik müsterisiyim.39? den başladim birden 93? ye çikarttilar.Bana dakika da gb da lazim değil duşurmek istiyorum paketi diyorum layik gordukleri 60?..Millet 25? dan veriyor aynisini;0
Vodafoneden kurtulmak için son 7 ayım kaldı. Allah bir daha Vodafone hizmeti, paketi vs kullanmak zorunda bırakmasın. Düşmanımdan dahi uzak tutsun. @VodafoneHizmet @SuperYardim;0
vodafone pişmanlıktır geçmez olaydım;0
Şoorayaaa göz göre göre halkı kibarca tırtıklayanların adını bırakayım. @Vodofone2 #Vodafone @Turkcell #Turkcel;0
Haziran ayında kendileri kendi kafasına göre benim tarifeyi yenilemisler;0
Yine vodafonein geç haberlendirmesiyle paket aşım yaptım çok güzel sokuyosun teşekkürler vodafone;0
VodafoneHizmet Merhaba ben numara taşıma işlemi yaptım 20 gündür işlem yapılamıyor vodafone  YARDIMCI OLMUYOR;0
turkcell de beni dolandırdığı için 3 hattımın tamamını vodafone geçirdim . ve son derece de mutluyum.. 3 senenin üstü de kullanmaktayım. şimdi ne olacak.;1
Musteri huzmetleri diyorsun. O kelime kodlanmis ve hic algilamiyor. Denemkmek icin kendiniz bir arayin bakalim kac dk ulaşcaksiniz;0
Şerefsizler karaktersizleeerrrr;0
Sahtekarlar;0
Hepsi bir birinden beter mecbur birini seçicez;0
Allah sizin belanizi versin  digital operatörde 50 TL paket yapmak istiyorum  bakiyemde 52 TL olmasına rağmen yeterli bakiyeniz yok diye sms atiyorsunuz;0
Şerefsizler yaaa düdüklemeye çalışıyorlar ama ödemicem;0
İyi düşün bende uzun süre vodafone kullandım.30? fatura ödemek bekliyor dum 150? geldi aslında Yok Bir Bir indenfarki yerli firma diyoruz kazık yiyoruz.;0
Vodafone çok pahalı operatör;0
Cakal vodafone atlamış sanki kendisi farklıymış gibi...;0
Vodafone de aynı mantıkda anlaşdıgın fiyattan farklı oluyor 5 tl fark sonra devletten vergi die başka bişeylerderken 10 a yakın fark hepsi dolandırıcı ;0
Hepsi soyguncu resmen;0
Evet hepsi aynı, ben taa Cine-5 den itibaren hepsiyle papaz oldum, cihazı teslim ettin etmedin ile başlayıp binbir türlü dalavere, d-smart, süperonline,digitürk, turkcell, Vodafone vs hepsi aynı bok;0
cepte keklik olarak görüldüğümden her sene operatör değiştiriyorum.  Vodafone den ayrılmama 1 ay kaldı.;0
Şu reklam telefonlarını nasıl engelleyebiliriz? Hergün internet firmasından, spasına oradan cast ajansına. Gelen 10 aramadan en az 6'sı bu yönde ve artık sinir bozucu bir hal aldı. @VodafoneTR;0
"#VodafoneDolandırıcılığı
Bir ara ülkede operatör değiştirdim şebeke yüzünden @TurkTelekom dan @VodafoneTR @VodafoneDestek her neyse
O ondan beter çıktı
Kendi başına paket bitiyor ek ücretler 
Yani ülkedeki üç operatör de kazikci dolaylı dolandırıcıdır.
@Turkcell de dahil";0
Vodafone kullananlar #VodafoneDolandırıcılığı tag’ı açmış ama Turkcell de aynı operatörün laciverti. Allah razı olsun 60?’lik paketimi hiç 60? ödemedim.;0
Vodafone de o kadar masum değil. Aşımdan itibaren 10 MB bile İnternet harcasanız 24 TL kitliyorlar, yeni paket alınmış gibi direkt işlem yapıyorlar. Paket aşım uyarı bedeli için de 7 TL istiyorlar.;0
Yav sanki siz farklısınız!! 11 yıl vodafone kullandım, artık tahammül edemediğim için numaramı taşıdım. Hiç olmazsa ucuza kazıklanayım. Sürekli fatura aşımı diyerek her ay 20-30 lira fazladan ödeme çıkarıyordunuz.;0
Vodafone size ulaşılmaması için çok uğraşıyorsunuz. Tşk;0
#VodafoneDolandırıcılığı al bunu vur @Turkcell hatta @TurkTelekom ‘a hepsi aynı;0
vodafone kötü ama turkcell de çok pahalı. peki benim gibi bir dağbaşına çıkıp bir şehre inenler ne yapabilir? en azından mobil ağın olduğu her yerde işimi görüyorum. çok kötü ama hiç olmamasından hatta ttnetten iyi;0
Sizde çok kazıklıyorsunuz. En İyi Türk Telekom.,20 yıldır Turkcell kullnıyordum. Şimdi uygun fiata Türk Telekomdayım..;0
Bendede aynı sorun var sure asımı dıye her ay gecırıyorlar pısmanım;0
Hepsi aynı vodafone güzellemsi yapma. Az mı mikti milleti vodafone. vodafone tag ı açsak neler gelir neler;0
vodafone.. Ben de vodafone kullanıcısıyım. HERHANGİ bir numarayı arayıpta ulaşamadığım zamanlarda sesli mesaj merkezini devreye giriyor- ama ben kesinlikle sesli bir mesaj bırakmadığım halde - sesli mesaj bırakmışım gibi faturama yansıma yapılıyor..tuzak ...;0
Uzun süre @VodafoneTR  kullandım şaş kaza @Turkcell e geçtim ve bir ayda turkcell in bana gonderdigi fatura 538 tl interneti asiri cabuk bitiyor anında vodafone ye geri döndüm her operatörde hata olabilir ama en iyisi vodafone;1
Aksam vodafone kredim i sorguladim 5500 tl idi. Sabah tekrar sorguladim 400 tl ye inmiş. Puanim artsin diye faturami geldigi gün ödüyordum. Durup dururken neden indi puanim? Bugün cihaz almayi planliyordum;0
Eğer her ay faturan anlaştığın tutardan kat be kat fazla gelmesini istiyorsan @Turkcell de kal ama ben hiç @VodafoneTR da böyle sıkıntı yaşamadım hatta hiç sıkıntı yaşamadım.;1
Bana bundan daha düşük tarife yok diye 89'a bu kotaları verdiler şimdi adını değiştirip bana verdiği hizmeti 59' a satıyor .  Yerli ve milli @VodafoneHizmet;0
Al birini vur ötekine, bazı kurumlara muhtaç olmak ta zor eski @Turkcell yeni @VodafoneTR lu olarak söylüyorum. Hele @TurkTelekom dan hiç söz etmiyorum....;0
Ha vodafone bence de şirinlik yapmasın çünkü o şirinlerden kaçıp bunlara geldim ;0
Sadece vodafone değil turkcell de farklı mı bana da aynısını yapmış ve 300 tl lik cayma hakkı şu an avukatta bin tl mahkemeelik olduk ve malesef hic hakkım da yok imza atmışız bilmeden;0
Sakın abi vodafone da berbatmış;0
Sanki vodafone çok farklı sonuçta anlaşmışlar üç operatör biri dolandiriyo öbürüne gidiyon o dolandiriyo öbürüne hepside vatandaşı sovusluyor BTK bunaa göz yumuyor;0
Hee benze vodafone yarafindan dolandirildim oradan sözleşmesi fesh ettim çıktım;0
TurkcellHizmet bakın görün evde iki kişiyiz ve Turkcell’e telefon taksidi hariç toplamda 600 TL den fazla fatura ödüyoruz. Yazık günah ama siz durun bu haftları komple @VodafoneTR taşıyayım sizden kurtulayım sokakta şeker dağıtacağım pis soytarılar dolandırıcı şerefsizler sizi;0
İnterneti düşünürken bile internetim gidiyor, sen adamın piskolojisini bozarsın @Vodafone;0
Turkcell cok pahali. ayni kosullardaki tarifelere bakinca mecburen vodafone tercih ediyrm;2
Arkadasim evlerine internet baglatti ama   tahahhutlerini yerine getirmediler. cok magdur oldular. evdeki cocuk kamera sistemi icin kullanacaklardi. yazik gunlerce muhatap bulamadilar.;0
Ben yaklaşık 7 senedir hattımı taşıdım Vodafone kullanıyorum,yıllarca Turkcell kullanıcısıydım bende bunu Turkcell tarafında yaşadım.şimdi hiçbir sıkıntı yaşamıyorum Vodafone de ,umarım sizin de sorununuza çözüm bulunur.;1
Bu duyarllığınızı müşteri sorunlarını çözmektede gösterseniz keşke sizin yüzünüzden bir aydır mağdurum;0
vodafone musteri hizmetlerine baglanabilen sabirli ve tasakli biri varmi? Ben gecen gun 1 saat 45 dakika mucadele verdim.;0
Tam vodafone fırsatçılığı! Üçünüz de milleti aranıza almış hangimiz neresinde geçirsek diye ağzınızdan köpük saçıyorsunuz. Anlattırma şimdi burda vodafone'den çektiklerimi.;0
Aynı haltı vodafone de yiyor;0
1 gb İnterneti 24 liraya satan @Vodafone @VodafoneHizmet  siz çok kazıkçısınız. En kısa zamanda sizden kurtulmak dileğiyle;0
#VodafoneDolandırıcılığı Turkcell ve Ttnet ile yarışır.;0
En fazla çekim alanı Vodafone diyorlar tamamen yalan. Bizzat yaşıyorum. TTNet in ful çektiği hatta zemin katta bile internete girdiği yerde Vodafone tek diş zor çekiyor ve internet için iş yeri dışına çıkmam gerekiyor. Yılın 250 günü iş yerindeyim. Keşke cayma hakkim olsa;0
"""Vodafone""Salla kazan, bip ve benzeri uygulamalarınızdan hileli yollarla gb net paketi kazanan onlarca kişi var çünkü siz cimri bir operatörsünüz ";0
VOdafonemi töbe bida kullanmam;0
Aynisin betrinden yıllarca @Turkcell  den şikayet etmiştim, şimdi Vodafone da da yeni duzenbazlik basladi;0
Aynen öyle şu ücreti bu ücreti her ay faturanın iki katını hatta dört katını ödüyoruz aşım ücreti de aşırı pahalı internet aşımı yaptıktan sonra paketiniz bitmiştir diye bildirim geliyor sahtekar vodafone;0
Ben de vodafone den ayrılıcam taahhütüm biter bitmez. ikidir 24tl ye 1 gb tanımlıyorlar hattıma hem de ben onay vermeden.. Bu ay 106 tl faturam var;0
Aynısını 3 yıl önce @vodafone ev internetinde yaşadım. Defalarca arayıp kavga ettim. Onlarca kez buradan sövdüm. Btk’ya şikayet ettim. Ancak iptal ettirdim. Bak yine hatırladım bir gözüm seyirdi. Siz çabuk unutursunuz inşallah.;0
Valla tüm sülaleyi Turkcell' den Vodafone taşıdım şuana kadar kimsemiz dolandırılmadı acı, olay şu ülkemizin olan operatörler işlerini düzgün yapmıyor İstanbulda yaşıyorum il dışına da çıkıyorum Vodafon dan memnunum #VodafoneDolandırıcılığı;1
vodafone beni çıldırtıyorsun;0
hic kalp malp atarak sevimlilik yapmayiniz. @vodafone kaziklarinin da haddi hesabi yok;0
Çok mutlu oluruz. Al birini vur ötekine. Kurumsal dolandırıcılardan bıktım. @Turkcell @VodafoneTR;0
"Wodafone kullanıcısıyım ve çok memnunum. Daha önce Turkcell kullanıyordum. Wodafone geçtiğim için önceleri pişman olurum sanmıştım ama tam tersi oldu. Buradaki konuyu bilmiyorum ama Wodafone Turkcell'den daha iyi hizmet verdiğini biliyorum. Saygılar.
#VodafoneDolandırıcılığı";1
Hemen hemen Ayni tarife(8gb 750dk)  yıllardır müşterisi olduğum vodafone tarafından 50 liraya geçen ay taahhüdüm bittiği için yenilettim.Eski müşterilerin önemi yok bunla ilgili çalışma yaptıklarını söylemeleri de ayrı komedi . Senede bir operatör değiştirmek lazım anlaşılan .;0
Hepsi aynı sadece vodafone değil. Turkcell den dünya kazık yedim vodafone a geçtim bu da aynı. Sorun iletiyoruz ilgilenen yok #VodafoneDolandırıcılığı;0
